movieId,title,genres
3,Grumpier Old Men (1995),Comedy|Romance
15,Cutthroat Island (1995),Action|Adventure|Romance
34,Babe (1995),Children|Drama
59,"Confessional, The (Confessionnal, Le) (1995)",Drama|Mystery
64,Two if by Sea (1996),Comedy|Romance
65,Bio-Dome (1996),Comedy
95,Broken Arrow (1996),Action|Adventure|Thriller
101,Bottle Rocket (1996),Adventure|Comedy|Crime|Romance
123,Chungking Express (Chung Hing sam lam) (1994),Drama|Mystery|Romance
125,Flirting With Disaster (1996),Comedy
160,Congo (1995),Action|Adventure|Mystery|Sci-Fi
162,Crumb (1994),Documentary
181,Mighty Morphin Power Rangers: The Movie (1995),Action|Children
191,"Scarlet Letter, The (1995)",Drama|Romance
206,Unzipped (1995),Documentary
217,"Babysitter, The (1995)",Drama|Thriller
219,"Cure, The (1995)",Drama
233,Exotica (1994),Drama
240,Hideaway (1995),Thriller
241,Fluke (1995),Children|Drama
249,Immortal Beloved (1994),Drama|Romance
251,"Hunted, The (1995)",Action
256,Junior (1994),Comedy|Sci-Fi
276,Milk Money (1994),Comedy|Romance
294,"Perez Family, The (1995)",Comedy|Romance
302,"Queen Margot (Reine Margot, La) (1994)",Drama|Romance
304,Roommates (1995),Comedy|Drama
317,"Santa Clause, The (1994)",Comedy|Drama|Fantasy
331,Tom & Viv (1994),Drama
336,"Walking Dead, The (1995)",Drama|War
358,Higher Learning (1995),Drama
369,Mrs. Parker and the Vicious Circle (1994),Drama
408,8 Seconds (1994),Drama
418,Being Human (1993),Drama
421,Black Beauty (1994),Adventure|Children|Drama
422,Blink (1994),Thriller
444,Even Cowgirls Get the Blues (1993),Comedy|Romance
460,Getting Even with Dad (1994),Comedy
470,House Party 3 (1994),Comedy
481,Kalifornia (1993),Drama|Thriller
489,Made in America (1993),Comedy
494,Executive Decision (1996),Action|Adventure|Thriller
500,Mrs. Doubtfire (1993),Comedy|Drama
504,No Escape (1994),Action|Drama|Sci-Fi
509,"Piano, The (1993)",Drama|Romance
515,"Remains of the Day, The (1993)",Drama|Romance
522,Romper Stomper (1992),Action|Drama
527,Schindler's List (1993),Drama|War
532,Serial Mom (1994),Comedy|Crime|Horror
535,Short Cuts (1993),Drama
546,Super Mario Bros. (1993),Action|Adventure|Children|Comedy|Fantasy|Sci-Fi
556,"War Room, The (1993)",Documentary
569,Little Big League (1994),Comedy|Drama
580,Princess Caraboo (1994),Drama
590,Dances with Wolves (1990),Adventure|Drama|Western
599,"Wild Bunch, The (1969)",Adventure|Western
663,Kids in the Hall: Brain Candy (1996),Comedy
673,Space Jam (1996),Adventure|Animation|Children|Comedy|Fantasy|Sci-Fi
687,Country Life (1994),Drama|Romance
695,True Crime (1996),Mystery|Thriller
697,Feeling Minnesota (1996),Drama|Romance
708,"Truth About Cats & Dogs, The (1996)",Comedy|Romance
755,Kim (1950),Children|Drama
775,Spirits of the Dead (1968),Horror|Mystery
781,Stealing Beauty (1996),Drama
784,"Cable Guy, The (1996)",Comedy|Thriller
829,Joe's Apartment (1996),Comedy|Fantasy|Musical
858,"Godfather, The (1972)",Crime|Drama
869,Kansas City (1996),Crime|Drama|Musical|Thriller
870,Gone Fishin' (1997),Comedy
875,Nothing to Lose (1994),Action|Crime|Drama
889,1-900 (06) (1994),Drama|Romance
899,Singin' in the Rain (1952),Comedy|Musical|Romance
915,Sabrina (1954),Comedy|Romance
923,Citizen Kane (1941),Drama|Mystery
939,"Reluctant Debutante, The (1958)",Comedy|Drama
942,Laura (1944),Crime|Film-Noir|Mystery
948,Giant (1956),Drama|Romance|Western
966,A Walk in the Sun (1945),Drama|War
980,"Yes, Madam (a.k.a. Police Assassins) (a.k.a. In the Line of Duty 2) (Huang gu shi jie) (1985)",Action
1032,Alice in Wonderland (1951),Adventure|Animation|Children|Fantasy|Musical
1044,Surviving Picasso (1996),Drama
1073,Willy Wonka & the Chocolate Factory (1971),Children|Comedy|Fantasy|Musical
1092,Basic Instinct (1992),Crime|Mystery|Thriller
1095,Glengarry Glen Ross (1992),Drama
1172,Cinema Paradiso (Nuovo cinema Paradiso) (1989),Drama
1181,"Shooter, The (1997)",Western
1190,Tie Me Up! Tie Me Down! (¡Átame!) (1990),Crime|Drama|Romance
1208,Apocalypse Now (1979),Action|Drama|War
1210,Star Wars: Episode VI - Return of the Jedi (1983),Action|Adventure|Sci-Fi
1212,"Third Man, The (1949)",Film-Noir|Mystery|Thriller
1217,Ran (1985),Drama|War
1218,"Killer, The (Die xue shuang xiong) (1989)",Action|Crime|Drama|Thriller
1219,Psycho (1960),Crime|Horror
1225,Amadeus (1984),Drama
1240,"Terminator, The (1984)",Action|Sci-Fi|Thriller
1250,"Bridge on the River Kwai, The (1957)",Adventure|Drama|War
1264,Diva (1981),Action|Drama|Mystery|Romance|Thriller
1274,Akira (1988),Action|Adventure|Animation|Sci-Fi
1279,Night on Earth (1991),Comedy|Drama
1299,"Killing Fields, The (1984)",Drama|War
1305,"Paris, Texas (1984)",Drama|Romance
1322,Amityville 1992: It's About Time (1992),Horror
1339,Dracula (Bram Stoker's Dracula) (1992),Fantasy|Horror|Romance|Thriller
1342,Candyman (1992),Horror|Thriller
1345,Carrie (1976),Drama|Fantasy|Horror|Thriller
1346,Cat People (1982),Drama|Fantasy|Horror
1349,Vampire in Venice (Nosferatu a Venezia) (Nosferatu in Venice) (1986),Horror
1354,Breaking the Waves (1996),Drama|Mystery
1365,Ridicule (1996),Drama
1369,I Can't Sleep (J'ai pas sommeil) (1994),Drama|Thriller
1397,Bastard Out of Carolina (1996),Drama
1404,Night Falls on Manhattan (1996),Crime|Drama
1416,Evita (1996),Drama|Musical
1425,Fierce Creatures (1997),Comedy
1446,Kolya (Kolja) (1996),Comedy|Drama
1453,"Beautician and the Beast, The (1997)",Comedy|Romance
1472,City of Industry (1997),Crime|Thriller
1480,Smilla's Sense of Snow (1997),Drama|Thriller
1515,Volcano (1997),Action|Drama|Thriller
1535,Love! Valour! Compassion! (1997),Drama|Romance
1550,Trial and Error (1997),Comedy|Romance
1563,Dream With the Fishes (1997),Drama
1564,For Roseanna (Roseanna's Grave) (1997),Comedy|Drama|Romance
1598,Desperate Measures (1998),Crime|Drama|Thriller
1601,Hoodlum (1997),Crime|Drama|Film-Noir
1619,Seven Years in Tibet (1997),Adventure|Drama|War
1624,"Thousand Acres, A (1997)",Drama
1631,"Assignment, The (1997)",Action|Thriller
1649,"Fast, Cheap & Out of Control (1997)",Documentary
1654,FairyTale: A True Story (1997),Children|Drama|Fantasy
1668,One Night Stand (1997),Drama
1681,Mortal Kombat: Annihilation (1997),Action|Adventure|Fantasy
1683,"Wings of the Dove, The (1997)",Drama|Romance
1687,"Jackal, The (1997)",Action|Thriller
1711,Midnight in the Garden of Good and Evil (1997),Crime|Drama|Mystery
1713,Mouse Hunt (1997),Children|Comedy
1744,Firestorm (1998),Action|Adventure|Thriller
1750,Star Kid (1997),Adventure|Children|Fantasy|Sci-Fi
1759,"Four Days in September (O Que É Isso, Companheiro?) (1997)",Drama
1772,Blues Brothers 2000 (1998),Action|Comedy|Musical
1779,Sphere (1998),Sci-Fi|Thriller
1783,Palmetto (1998),Crime|Drama|Mystery|Romance|Thriller
1785,King of New York (1990),Crime|Thriller
1816,Two Girls and a Guy (1997),Comedy|Drama
1819,Storefront Hitchcock (1997),Documentary|Musical
1821,"Object of My Affection, The (1998)",Comedy|Romance
1826,Barney's Great Adventure (1998),Adventure|Children
1854,Kissing a Fool (1998),Comedy|Romance
1873,"Misérables, Les (1998)",Crime|Drama|Romance|War
1896,Cousin Bette (1998),Comedy
1903,Hav Plenty (1997),Comedy
1928,Cimarron (1931),Drama|Western
1942,All the King's Men (1949),Drama
1945,On the Waterfront (1954),Crime|Drama
1952,Midnight Cowboy (1969),Drama
1953,"French Connection, The (1971)",Action|Crime|Thriller
1968,"Breakfast Club, The (1985)",Comedy|Drama
1973,"Freddy's Dead: The Final Nightmare (Nightmare on Elm Street Part 6: Freddy's Dead, A) (1991)",Horror
1974,Friday the 13th (1980),Horror|Mystery|Thriller
1976,Friday the 13th Part 3: 3D (1982),Horror
1996,Poltergeist III (1988),Horror|Thriller
1998,Exorcist II: The Heretic (1977),Horror
2006,"Mask of Zorro, The (1998)",Action|Comedy|Romance
2011,Back to the Future Part II (1989),Adventure|Comedy|Sci-Fi
2024,"Rapture, The (1991)",Drama|Mystery
2032,"Barefoot Executive, The (1971)",Children|Comedy
2042,D2: The Mighty Ducks (1994),Children|Comedy
2060,BASEketball (1998),Comedy
2065,"Purple Rose of Cairo, The (1985)",Comedy|Drama|Fantasy|Romance
2077,"Journey of Natty Gann, The (1985)",Adventure|Children
2087,Peter Pan (1953),Animation|Children|Fantasy|Musical
2091,Return from Witch Mountain (1978),Children|Sci-Fi
2117,1984 (Nineteen Eighty-Four) (1984),Drama|Sci-Fi
2123,All Dogs Go to Heaven (1989),Animation|Children|Comedy|Drama|Fantasy
2128,Safe Men (1998),Comedy
2135,Doctor Dolittle (1967),Adventure|Children|Musical
2146,St. Elmo's Fire (1985),Drama|Romance
2149,House II: The Second Story (1987),Comedy|Fantasy|Horror
2164,Surf Nazis Must Die (1987),Action|Comedy|Drama|Horror
2171,Next Stop Wonderland (1998),Comedy|Drama|Romance
2173,"Navigator: A Mediaeval Odyssey, The (1988)",Adventure|Fantasy|Sci-Fi
2183,"Man Who Knew Too Much, The (1956)",Adventure|Drama|Mystery|Thriller
2210,Sabotage (1936),Thriller
2252,Hero (1992),Comedy|Drama
2259,Blame It on Rio (1984),Comedy|Romance
2266,"Butcher's Wife, The (1991)",Comedy|Romance
2280,Clay Pigeons (1998),Crime
2283,"Sheltering Sky, The (1990)",Drama
2349,Mona Lisa (1986),Comedy|Thriller
2352,"Big Chill, The (1983)",Comedy|Drama
2376,"View to a Kill, A (1985)",Action|Adventure|Thriller
2414,Young Sherlock Holmes (1985),Action|Adventure|Children|Fantasy|Mystery|Thriller
2422,"Karate Kid, Part III, The (1989)",Action|Adventure|Children|Drama
2427,"Thin Red Line, The (1998)",Action|Drama|War
2429,Mighty Joe Young (1998),Action|Adventure|Drama|Fantasy|Thriller
2453,"Boy Who Could Fly, The (1986)",Drama|Fantasy
2458,Armed and Dangerous (1986),Comedy|Crime
2460,"Texas Chainsaw Massacre 2, The (1986)",Horror
2473,Soul Man (1986),Comedy
2481,My Name Is Joe (1998),Drama|Romance
2500,Jawbreaker (1999),Comedy
2501,October Sky (1999),Drama
2522,Airport '77 (1977),Drama
2536,"Concorde: Airport '79, The (1979)",Drama
2548,"Rage: Carrie 2, The (1999)",Horror
2552,My Boyfriend's Back (1993),Comedy
2587,Life (1999),Comedy|Crime|Drama
2605,Entrapment (1999),Crime|Thriller
2631,Frogs for Snakes (1998),Comedy|Film-Noir|Thriller
2634,"Mummy, The (1959)",Horror
2638,"Mummy's Tomb, The (1942)",Horror
2642,Superman III (1983),Action|Adventure|Sci-Fi
2659,It Came from Hollywood (1982),Comedy|Documentary
2672,"Thirteenth Floor, The (1999)",Drama|Sci-Fi|Thriller
2674,"Loss of Sexual Innocence, The (1999)",Drama|Fantasy
2689,Get Bruce (1999),Documentary
2697,My Son the Fanatic (1997),Comedy|Drama|Romance
2717,Ghostbusters II (1989),Comedy|Fantasy|Sci-Fi
2724,Runaway Bride (1999),Comedy|Romance
2739,"Color Purple, The (1985)",Drama
2746,Little Shop of Horrors (1986),Comedy|Horror|Musical
